review_id,year,season,designer,author,city,date,review,topic_number
457,2002,Spring,Givenchy,Armand Limnander,Paris,10-Oct-01,"After his awkward debut during couture week, Welsh designer Julien Macdonald is still struggling to find his feet.  The house of Givenchy has always been known for its purity of line and simplicity of design the polar opposite of Macdonald's heavy-handed use of ruching, cord inlays and cabled trims. While some pieces were finely made notably a striking off-white poplin dancer skirt with layered crinolines and a pink marbleized dip-dye shirt they got lost in an overabundance of decoration. Macdonald's high-waist pegged trousers, too sheer smocked dresses and fussy riding jackets all felt contrived.  Ultimately, this collection fell short of forging the new identity that Givenchy seeks.",4
427,2002,Spring,Badgley Mischka,Armand Limnander,New York,17-Sep-01,"After spending a couple of seasons exploring the alien terrain of sensible daywear, Mark Badgley and James Mischka have gone back to their first love: the high-octane evening gowns that have made them nearly as famous as the Hollywood celebutantes they love to dress.  This season, the duo's attention-loving gowns have a decidedly antique feeling. An embroidered paisley column was lavished with candle-like drippings of translucent beads; dreamy shades of marigold, apricot, iris and tuberose gave a youthful spin to a slinky assortment of long sheaths that were generously decorated with cutouts and floral appliqu's. The non-full-length department was represented by '20s-inspired Deco slips and shirtdresses.  For those few Badgley Mischka customers who venture outdoors before 6 p.m., there were several light tweed dresses and suits, including a jacket embellished with no surprise here a smattering of beads down the sides.",6
568,2002,Fall,Dolce & Gabbana,Janet Ozzard,Milan,28-Feb-02,"Hello, cowgirl in the sand. Or, in this case, the Alps. Domenico Dolce and Stefano Gabbana went north for inspiration for their Fall D&G secondary line and came back with a Tyrolean-themed collection just the thing for a sexy, young Heidi with a great figure and a good sense of humor.  Shown against a backdrop that included two plastic cows, a milking stool and a bucket, D&G sent out gossamer peasant blouses, embroidered or eyelet-trimmed and paired with super-low-rise tight jeans, loose cargo pants or pleated micro-minis. Sheer chiffon dresses and blouses were worn over brightly-colored bras not strictly Alpine, but certainly fun. Those mountain breezes can get chilly, though, so there were plenty of close-fitting Tyrolean jackets and vests, a granny-square stole, and generously cut sweater coats and scarves to keep warm. Should Heidi head into the big city for a date, she could choose a figure-hugging cowl-neck sweater dress or a plaid bustier with wool pants. And given the high proportion of men's looks that came down the runway, D&G clearly has a mate in mind for their modern cowgirl.",9
552,2002,Fall,Jean Paul Gaultier,Sarah Mower,Paris,9-Mar-02,"Brown paper packages tied up with strings; these are a few of Jean Paul Gaultier's favorite things for fall. His runway was wrapped up in sheeting like a Christo art piece and the models bundled and bound like parcels in transit. Hangers and Stockman dress forms the dummies used for fitting clothes circulated on an overhead track so the girls could take off and put on jackets and coats as they strutted.  Gaultier used the packaging motif to bisect jackets, wrap the torsos in asymmetrically hemmed tunics, and bind legs in leather, as if with packing tape. The joke continued with trompe l'oeil outfits made to look as if the models were half-submerged in mail bags or leopard-spotted women caught up in net, human versions of exotic animals traveling in the luggage hold. Gaultier's life-preserver gilets in puffy nylon or mink, and a tailored jumpsuit under a leather bomber jacket, strung out the in-transit story. The strongest pieces he delivered are in synch with the season's trends: the skinniest green-washed jeans, crumpled at the ankle and long enough to hide the shoe, and his tailcoat, cut as a vest with a bolero jacket on top. But cutting loose from over-themed design would modernize his presentation no end.",4
481,2002,Spring,Miguel Adrover,Armand Limnander,New York,9-Sep-01,"Over the past year, Miguel Adrover has traveled several times to Egypt, bringing back with him images of flowing djellabas, loose harem pants and floor-length monastic skirts. For Spring, Adrover continued to explore Middle Eastern-inspired themes with everything from ornate skirts embellished with tassels and leather waistbands, to colorful patchwork wraps and skirts quilted with elaborate lattice patterns. Long, delicately printed desert dresses were worn under strict colonial blazers, and trouser suits were pegged at the ankle.  The ethnic journey began with serene, austere peasant tunics, but eventually gave way to a crescendo of primary colors. A tongue-in-cheek Jamaican-themed segment consisted of red, black, yellow and green suits; a long column gown was painted with an extraordinary Middle Eastern vista. Model Oluchi, enveloped in layers of multihued chiffon, resembled a nomadic tribal goddess.  Adrover's collection was very beautiful and, as usual, long and uncompromising. Not everything will be for everyone, but at a time when cookie-cutter fashion is increasingly commonplace, Adrover's independent spirit is more relevant than ever.",4
672,2003,Spring,Russell Sage,Sarah Mower,London,12-Sep-02,"Russell Sage opened London fashion week for spring 2003 by invoking the name of fellow Brit Charles Frederick Worth, the Victorian gentleman who set up the very first haute couture house in Paris. Seeking to restore pride in the grand, almost-lost tradition of English craftsmanship, Sage enlisted the help of centuries-old U.K. businesses, from tailors Davies & Son and shirtmakers Turnbull & Asser to Lobb & Co. (shoes) and the Gainsborough Silk Weaving Company (brocades).  Though there's no doubting Sage's wish to support his country's heritage, he seemed to be at a loss in terms of how to harness all that history. Reverting to his own background as a dealer in antique furnishing fabrics, he added fragments of precious Chinese silks, taffetas and velvets all intrinsically beautiful in dusty, time-faded colors to the mix. But he struggled to find a silhouette on which to pin all these marvelous materials. His conceptual thread wandered from vaguely 1960s black dresses to obis fastened with vast padded bows in back to 1950s swimsuit shapes made in brocade.  The designer's best moment was a series of high-waisted dresses, in a rainbow of coral, pistachio, sky blue and violet, detailed with inserts of reclaimed crushed velvet. For some in the audience, though, the only place to look was forward to his next project, the interior design of a ch teau belonging to the cognac house Hine (a commission from LVMH). Dressing walls, windows and furniture instead of girls just might be the best use of Sage's talents.",5
615,2003,Spring,Blaak,Sarah Mower,London,14-Sep-02,"Blaak, the nom de mode of Sachiko Okada and Aaron Sharif, is a label that has established its identity by creating accessible, on-trend streetwear. This season, following the prevailing currents, the designers have moved from peasant remixes to a sporty  80s approach full of references to the first great London fashion boom, circa 1984, when Katharine Hamnett and Body Map ruled the runways with their combat and dancewear clothes.  The designers played the trend with a collection of white and neutral tones punched up with metallic and neon touches, all done in washed cotton, mesh, satin and leather. Add in a lot of layering tank tops under bombers, skirts over pants plus cutaway, casual shapes, and you get the general picture.  Blaak's best pieces are the elastic-waist bombers and vests that curve in back, tracksuit style. And the perforated white leather with solid banding on the seams was a snappy offering for summer's fashion workout.",7
797,2003,Fall,Gianfranco Ferré,Sarah Mower,Milan,2-Mar-03,"Imagine Madame Recamier on a Harley-Davidson and you're getting close to the starting point for Gianfranco Ferr's Fall collection. The designer noted in the program that he happens to share a birthday with Napol on Bonaparte, a piece of synchronicity that put him on a historical-militaristic path that met up somehow with today's mood of aggression. The result, inspired partly by eighteenth-century French Revolutionary costumes, partly by motorcycle-gang-tough jeanswear and studded leathers, is a collision of fierce cutting and romantic flourishes.  The historical references included swaggering Napoleonic uniforms and the delicate empire dresses of the Empress Josephine and her court ladies. Floor-sweeping coats in black cashmere or brown leather came with straps and buckles in place of frogging. Breeches turned into zipped, cropped pants, and the puffed sleeve of the Directoire transformed into tightly seamed jackets lined in fur. All this was mixed in with stylized studded, zippered leather motorcycle pants and the kind of operatic collars that are the designer's signature.  Although Ferré operates on his own in terms of personal inspiration, the collection hit on the general trend for a raised-waist silhouette and an inflated shoulder line. It remains to be seen, however, just who will brave the sheer evening gowns with black lace panties fashioned into what looked like the pattern of an imperial shield.",4
803,2003,Fall,Anna Molinari,Sarah Mower,Milan,28-Feb-03,"Anna Molinari is one of Italy's suppliers of twentysomething style, a collection that typically picks up on vintage ideas and tweaks them to suit the current mood but always with a Latin nod toward sexy femininity. No prizes, then, for guessing that the  60s were the starting point for Rossella Tarabini, the line's designer (and daughter of its eponymous owner). Tarabini took Jane Birkin as inspiration for the collection, which began with an image of a girl in a short, black bouclé Empire coat, banded in fur and worn with high-heeled Mary Janes and thick black stockings. Innocent? Not really. As she moved, she showed a wicked flash of thigh, playing sweet against knowing and that was the show's theme in a nutshell. Dresses made from slight, fragile fabrics were worn layered or showed up as a fluttery frill under long, skinny ribbed knits. Tarabini dipped into the faded, barely there hues fugitive shades of lilac, beige and champagne that are turning up as Milanese favorites. Her structured daywear centered on peacoats and shorts, cropped sailor pants and little fur jackets. For evening, she picked out a ribbon-and-bow motif in diamant? on a charmeuse trapeze, which looked pretty, but then she sent out endless variations on tiered shimmy dresses, which pushed the collection just a fringe too far.",6
723,2003,Fall,Alessandro Dell'Acqua,Janet Ozzard,Milan,3-Mar-03,"Milan's fashion collections seemed to be going in two distinct directions: the warrior women, ready for a melee in their mod revival look, and the quieter types who'd prefer, frankly, to sit on the sidelines with a nice cold cocktail to keep them company. Alessandro Dell'Acqua falls resolutely into camp B, with a Fall collection full of slithery soft fabrics and pale boudoir colors.  It's not that Dell'Acqua, who also designs for La Perla, was suggesting his customer put her sex appeal on hold; he just wanted to add a little romance along the way. Chiffon tops cascaded over skintight pants, ombre-dyed ostrich feathers fluttered from the top of a halter, and minidresses were of the ruffly and unruly variety. Even when he tried to be serious and severe as with a series of snug black separates done in satin and velvet it came off as gently enticing. For those seeking to avoid hard edges in these tough times, Dell'Acqua's soft sell has undeniable appeal.",8
717,2003,Fall,Burberry Prorsum,Sarah Mower,Milan,3-Mar-03,"At the age of 30, Christopher Bailey is the creative director of one of the largest and most broadly based fashion brands in the world. He shoulders the responsibility for making Burberry's many product lines both cool enough for hipsters and classic enough for conservatives, a balancing act that he carries out with almost preternatural maturity. Yet his being only 30 may explain why his Fall collection for Burberry Prorsum, the house's designer collection, was shot through with flashbacks to the 1980s. He is, after all, a child of that decade.  Bailey wisely dispensed with forced references to the Burberry plaid (been there, done that) while making rainwear a link through the show. A printed nylon mac was humorously patterned with an English country scene including a cartoon of the Burberry horseman logo which, he said, had been drawn up in the studio. The label's weatherproof reputation was preserved, thanks to an acid-yellow parka, a slick black rain poncho and matte-black leather trenches, accessorized with bright bags featuring flaps to contain matching umbrellas.  The  80s references came via searing shots of color leaf green, mint, royal blue, apricot and yellow and a penchant for jersey leggings. There were plenty of the neat little jackets, in washed cottons and puffy leather, that Bailey does so well. He also layered on raw-edged, crinkled stretch-chiffon wrap dresses, and he came up with some cool sweaters in contrasting blocks of New Age stripes. After that, it got a bit puzzling.  Why the strange cuts with the raised, inside-out seaming? And why not some more stuff for the grown-ups? Overall, the collection did not come off as fully resolved. On the other hand, Bailey's heart is in the right place. After the show, he said he  wanted energy, color, something to make people feel better.? And we can all relate to that.",7
621,2003,Spring,Chloé,Sarah Mower,Paris,6-Oct-02,"Chloé designer Phoebe Philo understands the first law of provocation: never act like you're trying too hard. For spring, she trod a long-legged, high-heeled path through a collection that turned on the sex appeal without resorting to trashiness.  Philo also knows how to undercut the polished taste of a French house, via a smart young woman's way of putting things together. She used conventionally proper materials like navy chiffon, pale suede, black satin and a Spanish-influenced print to make little dresses with a lot of impact. Some were decorated with silver bobbles, to shiver as the wearer walks, others prettily embellished with brass flowers. Instead of being tartily clinging and revealing, Philo's tops were fluted and flew open at the neckline in a subtly undone way. She handled the obligatory leg-show with cuffed shorts and with low-slung skirts in gauzy fabrics, while the signature Chloé swimwear came in dressed-up two-pieces, tied around the body with beaded strings and trailing flirty little scarves.  Feminine and coolly accessorized with matching bags, this was a collection cleverly calculated to make men want to tear the clothes off a girl in the nicest possible way, of course.",1
834,2004,Spring,Derek Lam,Laird Borrelli,New York,14-Sep-03,"Derek Lam said that he designed his sophomore collection ""with a woman , not an ingénue, in mind,"" and the names he gave his pieces drove the point home. There were ""Sophia"" and ""Ava"" dresses, as well as a ""Marilyn"" camisole that referenced Ms. Monroe, one of Lam's main inspirations for the season (the other being the film In the Mood for Love ). But for all their grown-up sophistication, the clothes were more gamine than sexpot. The well edited eighteen-piece show featured a carnation print in slipper satin, a linen brocade shot with silver thread, and a vivid palette, worked into pieces like a cerise paper taffeta shell coat and a turquoise silk/cotton faille trench. Satin bra tops paired with Jacquard skirts were worn with heels for real sizzle; if put together with flats it would make for a flirty look. Pretty daytime options like box-pleat skirts and boyfriend sweaters gave way to the understated glamour of strapless evening dresses. Produced in Italy, Lam's collection looks and feels expensive and totally worth it.",9
1011,2004,Fall,Clements Ribeiro,Sarah Mower,London,16-Feb-04,"Clements Ribeiro has always designed into the eclectic, decorative, nostalgic way of dressing the duo calls ""clunky couture."" Now, with the fashion mood swinging distinctly in its direction, the husband and wife team has come up with a great-looking take on glam eccentricity. The first model set the tone, in a scrappy fox shrug, dippy dress patchworked from circus print and polka dots, and a smearing of emerald eye shadow. Part YSL forties collection, part King's Road glamorette, she looked like a vision of the mad, imaginative way young London girls put themselves together in the early seventies. With signature patterned cashmeres, coats in leopard spot or appliqu'd with flowers, and a slew of pretty, undone party dresses, it looked like a great way to get that requisite deranged-decadent look for fall. ""I just felt it's time to do something more opulent and gorgeous,"" said Suzanne Clements, who said she and her husband, Inacio Ribeiro, had been inspired by that classic documentary of aristocratic eccentricity, Grey Gardens .",1
885,2004,Spring,Bill Blass,Janet Ozzard,New York,16-Sep-03,"There's been more than the usual amount of drama at the House of Blass this year. In February, one day after they'd shown the Spring line, house creative director Lars Nilsson and his design partner Herve Pierre Braillard were fired. Two weeks later, Blass management appointed Michael Vollbracht, an illustrator and sometime designer and perhaps more importantly, a close friend of the late designer's as the new name behind the label.  Vollbracht's mission is to retain Blass's fabled, and faithful, customers, while also bringing in the next generation of ladies-in-waiting, and he made his ties to the old days clear by putting some of Blass's favorite former models, like Pat Cleveland and Diane Dewitt, on the runway. This fall, he's hitting the road as the house ambassador, with trunk shows lined up in Chicago, Palm Beach, and Houston.  The spring collection he showed is sure to appeal to the loyalist camps around the country. Blass classics, like cashmere sweaters paired with taffeta skirts, lightweight wool suits in navy or eye-catching pink, and taffeta clutch coats over slim skirts, can't fail to please, while airy chiffon evening dresses offer just the right amount of flutter for formal events. Some of Vollbracht's reiterations looked more clunky than classic on the runway, and their appeal to the younger crowd remains to be seen. But as Blass himself said,  timing is everything,? and Vollbracht may just turn out to be right on target.",9
1017,2004,Fall,Viktor & Rolf,Sarah Mower,Paris,5-Mar-04,"Viktor & Rolf's audience is still trying to adjust to the Dutch duo's surprising segue into commercial clothes. After the recent 10-year retrospective of their ultra avant-garde work, the pair moved on to a new phase: producing their version of real-life fashion. Their fall show featured headgear that was still up there in the conceptual ether antlers for some, Bambi sprouts for others and a soundtrack that added the threat of hunters' gunfire. But underneath, all the clothes were reworkings of regular garments. As Rolf Snoeren explained, ""We wanted to create a sort of fashion fairy tale. We've always loved classics and we think they are something special, which should be protected."" The walk in the woods began with a sensible loden, high-collared belted coat. It was followed by an outfit that, in its way, commented on all the ladylike silhouette-crafting that's going on in the fashion mainstream: a bolero jacket over a ribbed gray turtleneck and a wrap skirt fastened with a sparkling jewel. A camel car coat with a double collar was a reminder of the exaggerated multi-lapels the designers have piled on in former times; the device reappeared later, much watered-down, in double-fronted shirts. For all their reputation as out-there performance artists, Viktor Horsting and Snoeren are now displaying a canny knack for trend. Wide-leg pants, newly emerged this season, were in their collection, nicely done in fluid tuxedo suits. Ditto, brooches great, big rose sprigs or slightly sinister oversized spiders were pinned to the breasts of coats or at the throat on scarves. Perhaps all this connectedness is down to the guys' decision to get out of the house more. Like the thorough students they are, they recently embarked on a fact-finding mission to the Golden Globes to research Hollywood celebrity. The results could be seen at the end of their show, in a series of glamour gowns. Swarovksi glitter sheaths came out swathed in chiffon, emerald charmeuse goddess gowns were studded with golden jewels, and plunging black lace floated over nude linings. Something, however, is slightly wrong with this picture and one can never help suspecting (hoping, even) that the effect is a conscious stroke of irony. Because the last thing anyone needs to see is a pair of extraordinary talents like Horsting and Snoeren designers who have blown our minds in the past subsiding into something indistinguishable from normality.",9
1035,2004,Fall,Diane von Furstenberg,Janet Ozzard,New York,8-Feb-04,"The peripatetic Diane von Furstenberg never stays in one place, or one decade, too long. For spring, she flirted with flappers, but her fall collection was dedicated to a less era-specific icon: the glamazon (which also happens to be the name of the newest addition to her growing beauty line).  This modern-day huntress gathers her fashion as she pleases; not for her a dull adherence to one style or another. The collection, designed as always by von Furstenberg and Nathan Jenden, drew heavily from the English hunting lodge, with its tweeds and tartans although it's doubtful anyone ever rode to the hounds in one of von Furstenberg's skintight cuts, curvy jackets, or eye-dazzling color combinations. The designers called on Camelot as well, with touches of medieval battle armor: a metallic knit tunic with an attached hood, a dark-gray snakeskin leather jacket, a jangly spangled beaded tabard worn over a wool jersey top and leggings. There's so much going on that it can be hard to follow von Furstenberg's lead, but there's no doubt she enjoys the sport of it all.",5
844,2004,Spring,Christian Dior,Sarah Mower,Paris,8-Oct-03,"John Galliano didn't go on one of his extensive research trips to come up with the Christian Dior concept for spring; perhaps he just popped across Paris to an exhibition of Marlene Dietrich's clothes that ran this summer. ""It was Marlene,"" explained the designer. ""But then I thought, who would she be today? Marianne Faithfull, Janis Joplin, Courtney Love, Patti Smith!""  Marlene was clearly behind his opening series of curvy gunmetal satin suits with a forties air; the fox-fur jackets that swanked through the show; and the beautiful bias-cut dresses, in silver or gold lamé tissue, that starred towards the end. In between, Galliano mixed up her influence with tattoo-print body stockings, suits with pieces of corsets and garters dangling from the skirt and jacket hems, and some hip-hop influenced silk sportswear. There were enough items in the melee to satisfy the faithful: his signature print chiffon dresses, some ultra-sexy swimsuits, and the new twist on the Dior bag (it comes with a fox stole attached to the strap). But anyone looking for Galliano's next great leap forward will have to wait till next season.",4
