year,topic_id,top_lift_words
2004,5,"attendee, quick, innovation, showgirl, boundary, riot, palm, distinct, park, kitsch, perennial, contender, evident, tap, beat"
2004,6,"swag, remarkable, dotted, compliment, louche, loafer, mental, solo, tassel, chest, robe, toed, surreal, lineup, groove"
2004,7,"tennis, lunch, playsuit, zippy, silly, teen, intention, determined, hued, nostalgia, fluorescent, husband, highlight, perspective, mad"
2004,8,"tradition, olive, bite, edgy, camp, lavish, movement, watercolor, pistachio, detailed, mainstay, fare, brown, toned, aim"
2004,9,"foil, horror, versatility, friendly, mannequin, wheel, nonsense, commitment, retail, average, dozen, corner, chair, product, anglaise"
2005,0,"flip, tabard, multi, insider, shoot, smoking, gimmick, slash, tutu, austere, accessible, damask, sponsor, paint, covetable"
2005,1,"basket, topcoat, test, bed, storm, fellow, normal, flap, front, trumpet, raspberry, robe, portion, spray, pajama"
2005,2,"glittering, slow, limit, offer, energetic, chubby, teen, spectacle, hostess, ride, interview, gun, crimson, beloved, code"
2005,3,"midnight, landscape, sky, bangle, ware, handmade, dynamic, deal, stole, warmth, goal, mannequin, attempt, cinematic, ply"
2005,4,"factory, church, rounded, output, aforementioned, hundred, circumstance, reflection, hook, complicated, sample, armor, environment, fourth, peacoat"
2005,5,"bandage, oxford, showgirl, context, cabaret, race, death, messy, emotion, kaleidoscope, curvaceous, cultural, pressure, steel, crown"
2005,6,"candy, craze, noteworthy, translation, checkerboard, tile, royal, emphasis, idiosyncratic, angular, sensation, horizon, tailor, habit, tea"
2005,7,"spectator, booty, baseball, hoodie, lambskin, bubblegum, charge, owl, grouping, applause, massive, bondage, inky, pragmatic, playsuit"
2005,8,"notice, seamless, caviar, flight, irony, inclined, hotel, positive, execution, spectrum, optic, ornate, sell, ikat, brooch"
2005,9,"knack, heartfelt, cat, complaint, surf, mile, intent, ancient, darkness, shimmering, stripy, argyle, roman, sultry, realistic"
2006,0,"consistent, reinterpretation, interview, towel, album, shopper, necessary, colored, horizon, envelope, sand, swag, luxurious, possibility, tomato"
2006,1,"tennis, attendee, circus, custom, cartoon, ride, array, sparkly, quest, overcoat, serene, kicky, choker, canvas, diaphanous"
2006,2,"limited, teen, primary, scenario, artisan, singular, mall, underwear, embroidered, chambray, coral, digital, bathing, purse, vent"
2006,3,"architecture, foulard, damask, tile, dominant, swan, subtlety, excited, melee, dangerous, mongolian, unusual, tender, soul, intention"
2006,4,"cutting, factory, decision, walk, showpiece, suggestion, resource, random, backpack, clarity, portion, grouping, credit, raison, mental"
2006,5,"snake, local, sculpture, sponsor, comeback, island, sunset, childhood, zigzag, cheek, commitment, cabaret, appliqué, handmade, accomplished"
2006,6,"circumstance, metaphor, grosgrain, lunch, mosaic, basket, weave, slipper, dotted, watercolor, deft, medium, savvy, backstory, jolt"
2006,7,"founder, owner, roomy, terry, aqua, ear, origin, burst, tap, stiletto, witty, crocheted, pile, magpie, aged"
2006,8,"poppy, gazar, tack, rayon, cell, phone, croc, piqué, growth, bar, offhand, transparency, blocking, ponyskin, patch"
2006,9,"versatility, installation, groovy, ongoing, womenswear, clientele, calling, trumpet, faux, naive, inevitable, monochromatic, secondary, pinstriped, capital"
2007,0,"comfortable, buttery, cohesive, ideal, grouping, reflective, slipdress, immediate, integral, prettiness, lattice, gloss, sliver, shadow, racerback"
2007,1,"outsize, notice, uncomplicated, yard, marriage, insider, steam, firm, dressy, artisanal, circuit, corsage, alligator, collarbone, south"
2007,2,"phrase, excited, caramel, photography, mien, rein, counterpart, trippy, jogging, daisy, quintessential, heady, aggressive, spider, rear"
2007,3,"basketball, parent, average, nubby, fastening, diva, windowpane, heroine, physical, stripey, crinkly, paean, generous, plush, chevron"
2007,4,"strategic, artificial, tendency, beaver, coated, austere, ethos, peer, fisherman, botanical, surreal, contrary, soul, sponsor, stellar"
2007,5,"argument, earthy, domestic, horror, translucent, route, mosaic, explanation, grommet, essential, humble, aforementioned, surfer, velour, kudo"
2007,6,"laced, nostalgic, gamine, heyday, magical, swirly, offer, review, application, pistachio, darkness, roman, drift, leitmotif, bejeweled"
2007,7,"mannered, impossible, functional, park, irregular, extravaganza, dystopian, purse, sumptuous, rise, dynamic, component, childhood, responsible, legendary"
2007,8,"utility, placket, comic, phone, lightning, rust, collage, respect, basket, sensational, coin, fluoro, shame, neckpiece, takeaway"
2007,9,"devoted, scalloped, swan, burlap, foray, draping, tomboy, hawaiian, needle, border, traveler, prep, follower, loafer, ship"
2008,0,"fancy, gun, studded, karate, daring, apparent, duty, latin, mineral, halterneck, fatigue, worker, folksy, artisan, velour"
2008,1,"saturated, pleasing, introduction, finesse, botanical, understatement, jumper, caviar, minded, abstracted, break, bib, icon, focused, capable"
2008,2,"ruching, topstitching, uneven, needle, rule, testament, dye, dominant, church, uncomplicated, chandelier, coin, glitz, swatch, endless"
2008,3,"absence, argyle, irresistible, femme, felted, savvy, protection, strictness, medium, smattering, laced, horizon, cowgirl, aviator, gloss"
2008,4,"toile, genuine, remote, marled, rocker, poetry, cinematic, sturdy, kilter, inherent, nomadic, equal, shouldered, ice, allusion"
2008,5,"chinchilla, antidote, service, southern, stride, private, purse, languor, responsible, subdued, whiff, craze, split, attempt, parent"
2008,6,"connotation, solo, tribute, aubergine, grandmother, alluring, macram, modesty, netting, formality, fastening, distant, australian, opener, realm"
2008,7,"neoprene, rebellious, attire, zippy, punchy, piecer, wash, application, energetic, extravaganza, sheepskin, jolt, slope, iconic, nautical"
2008,8,"calling, choker, medallion, mustard, officer, generous, decorous, architect, vice, messy, glance, pistachio, flouncy, debutante, excellent"
2008,9,"niche, rebel, son, obsessive, handful, evocative, maiden, classical, exhibition, souvenir, tap, wooden, stellar, camisole, lightweight"
2009,0,"task, poetic, slate, sponsor, grecian, glad, beret, commentary, bar, latin, fluidity, intelligent, ride, emerald, racy"
2009,1,"understatement, shimmering, collarbone, online, cowgirl, thoughtful, prim, rear, checkerboard, disc, sensuous, tempting, closure, suggestion, authority"
2009,2,"devoted, halterneck, gypsy, kaleidoscopic, satchel, maillot, mundane, flea, stirrup, reliable, deco, grandmother, burst, linear, accordion"
2009,3,"interplay, title, protection, maker, bite, optic, bourgeois, caped, poncho, beloved, claim, bug, pvc, sable, gray"
2009,4,"shocking, curvaceous, mannered, medieval, tabard, monochromatic, breakthrough, attire, grit, collaborator, demure, identifiable, brushstroke, myriad, characteristic"
2009,5,"horde, swimsuit, suited, velour, warmth, function, connotation, somber, site, complicated, proud, aviator, opulence, diaphanous, spin"
2009,6,"brainer, translucent, inherent, tender, premise, milanese, entrance, knicker, habit, sunburst, cascade, grazing, australian, patchworked, spaghetti"
2009,7,"rebellious, punchy, overcoat, available, ambition, textural, tomato, rumpled, debutante, relationship, gun, slipdress, determined, graffiti, chest"
2009,8,"fruit, ruching, fishtail, broderie, enthusiastic, mill, butterfly, poor, lavish, shawl, pinafore, raspberry, custom, musical, innocence"
2009,9,"scheme, paean, nomadic, choker, full, prairie, inclined, bridge, trippy, billionaire, artful, alluring, pullover, robe, rust"
2010,0,"indigo, handwork, robe, delight, treasure, ply, ceramic, latin, steel, break, ubiquitous, sensitive, raspberry, shirtwaist, pack"
2010,1,"mainstream, nail, graceful, loungewear, dressmaker, shame, southern, tattered, shine, overdone, siren, modesty, inspection, confection, acolyte"
2010,2,"cheerleader, dragon, trope, object, craze, promise, jigsaw, hundred, stint, nighttime, corporate, secondary, plum, pixelated, average"
2010,3,"sentiment, storm, crucial, medium, shaggy, diffusion, attire, fastening, feral, owl, procession, basketball, ultimate, inner, affordable"
2010,4,"comment, shag, revolutionary, armor, daring, bangle, ambition, graduate, groove, veil, crown, raison, dazzling, nonsense, demand"
2010,5,"oversized, cake, flame, guard, conglomerate, slingback, sponsor, cost, mystery, languor, fishnet, physical, curvy, monogram, financial"
2010,6,"melancholy, fishtail, cohesive, toile, stovepipe, dart, masterful, coin, twentieth, balloon, throat, considerable, chandelier, principle, thoughtful"
2010,7,"mission, junior, millennium, fluffy, stellar, perky, shimmery, sidewalk, magenta, vice, swirly, magical, artisan, solo, dickey"
2010,8,"decorous, poor, outer, botanical, damask, chinchilla, daytime, innocence, lighthearted, ship, pony, halterneck, glory, trade, seersucker"
2010,9,"ponyhair, holographic, wheel, adventure, bite, shout, truth, circular, interplay, poetry, pinstriped, chemise, protective, advantage, persuasive"
2011,0,"cheerleader, war, rustic, sober, suggestion, swag, premise, mundane, manifesto, basketball, helm, subdued, plum, aware, sidewalk"
2011,1,"symbol, loyal, jeweled, crinkly, template, salmon, funnel, amusing, attendee, requisite, stand, specialist, streetwear, bee, afraid"
2011,2,"holiday, traveler, pleased, partnership, chenille, letter, aged, pinstriped, tutu, authority, flowy, cloque, independent, teenage, bling"
2011,3,"modesty, fiber, swathe, gilet, pelt, broadtail, beaver, clash, verland, aviator, persian, logic, topstitching, snow, masterful"
2011,4,"substance, stroke, immaculate, protection, ship, burlap, cutting, creativity, glittering, mercury, following, epic, pragmatic, conceit, climate"
2011,5,"haired, vortex, flow, gut, capable, gym, test, messy, tender, remote, lens, conclusion, intellectual, ghost, twee"
2011,6,"nomad, predominant, bottle, stellar, attire, cluster, adventure, mistake, austerity, integral, sidewalk, austere, baroque, dickey, underwear"
2011,7,"seasonal, interview, streetwise, perky, maiden, kit, takeaway, straw, downbeat, generation, nightclub, puffy, array, financial, tapestry"
2011,8,"cha, curvaceous, shag, motocross, smattering, patchworked, drift, damask, vacation, intricate, checkerboard, magical, ironic, glad, flame"
2011,9,"dart, fatale, floppy, consistency, handwoven, insert, lantern, cascade, prep, surrounding, pressure, clinical, lattice, minor, notch"
2012,0,"maillot, waistline, billowy, childhood, full, destination, bandage, clash, sliver, stride, nighttime, inky, guard, salmon, translation"
2012,1,"sash, target, peony, glitz, raincoat, diverse, streetwear, flouncy, opaque, tack, rigorous, lightning, plissé, count, fussy"
2012,2,"monogram, handwoven, versatility, host, racer, goth, cheek, flair, passion, cowgirl, assortment, trail, gal, studded, sunburst"
2012,3,"chinchilla, sable, fluffy, danger, necked, financial, sheepskin, pelt, gimmick, pea, toggle, devoted, romp, broadtail, scheme"
2012,4,"immaculate, bait, authority, function, theatric, nomad, father, secret, flea, cultural, smoky, jazz, political, languor, glad"
2012,5,"investment, frothy, sensation, samurai, fodder, buttery, attendee, compliment, angst, giraffe, sol, overwhelming, tennis, incongruous, irresistible"
2012,6,"identifiable, aubergine, flow, corsetry, circuit, steam, glimpse, wire, integral, teen, placket, cummerbund, stitching, shimmery, racy"
2012,7,"junior, silky, originality, meantime, condition, bangle, slogan, swimwear, trainer, drab, pull, cup, mainstay, slow, wine"
2012,8,"breath, flounce, bear, tangerine, birthday, costume, bloomer, onlooker, idiom, consistency, aerial, headline, sugar, scalloped, beach"
2012,9,"jigsaw, billionaire, musician, tailcoat, mauve, crinkled, grouping, fastening, takeaway, intelligent, tactile, perforation, surface, camisole, artsy"
2013,0,"bent, static, financial, newcomer, spider, chemise, pouf, towel, headgear, folkloric, veil, mode, anchor, underwear, disc"
2013,1,"faithful, curvy, neckpiece, jarring, lunch, debutante, attire, war, mannequin, spectator, crinoline, fishnet, triple, bulky, jolt"
2013,2,"piecer, assortment, plunge, maillot, folksy, kaleidoscope, dripping, greek, diverse, skimpy, naughty, groovy, cum, poufy, palazzo"
2013,3,"intelligent, urbane, slash, knicker, update, raison, load, rustic, ply, cable, persian, foulard, faux, lbd, caramel"
2013,4,"predominant, overlap, arty, sunshine, irony, irregular, stroke, aerial, inclined, comic, mineral, breakthrough, slingback, gift, tongue"
2013,5,"romp, uncompromising, translation, perky, purse, impeccable, web, pool, hope, loop, divine, globe, multi, danger, hostess"
2013,6,"clash, peacock, rarefied, break, weakness, harem, burnished, compliment, chubby, flyaway, shouldered, liquid, theatric, bronze, weightless"
2013,7,"fortune, target, attraction, mainstream, gut, milanese, aged, dainty, fearless, pristine, sample, activewear, sol, raspberry, triangular"
2013,8,"straw, knot, velour, overdone, mom, exciting, corseted, respect, seersucker, thirty, snappy, smattering, hawaiian, chubby, cha"
2013,9,"swathe, vixen, traveler, physical, dolman, affordable, flip, com, maiden, dye, steam, cutting, rein, easygoing, deconstruction"
2014,0,"pistachio, splash, complaint, status, belgian, dripping, economy, bandeau, stroke, envelope, transparency, corporate, slash, skimpy, goddess"
2014,1,"black, aubergine, protective, sleeved, ruby, pixelated, angst, stick, uptown, diva, hippie, inch, snakeskin, boudoir, ladylike"
2014,2,"laced, frilly, perennial, agenda, punky, gun, silky, bite, substance, suspender, groovy, freedom, impulse, romper, somber"
2014,3,"logic, touchstone, rebellious, poet, editorial, nighttime, resource, waistcoat, seasonal, semi, service, raspberry, toggle, device, pleasing"
2014,4,"trail, stirrup, clunky, shoot, tack, oxford, bike, viable, physical, attractive, naked, talk, border, blocking, forceful"
2014,5,"strand, generation, broderie, anglaise, moth, control, magical, innocence, local, supermarket, tailcoat, fruit, subtext, showcase, rack"
2014,6,"draping, knot, cake, dart, searing, confection, suggestive, corsetry, dip, motion, forty, lacing, oeuvre, reality, review"
2014,7,"billionaire, contender, teen, teenage, cheerleader, oversized, stock, mile, full, theatric, web, site, scuba, opener, occasional"
2014,8,"tweedy, remote, rubberized, maiden, bridge, cloque, clash, premise, summery, formal, unusual, rarefied, globe, cigarette, marble"
2014,9,"pannier, pile, ante, buttery, deconstruction, sensible, maillot, refinement, tenth, glance, gentle, insulation, flounce, duality, antidote"
